Organism,Country,Year,ARIMA_Forecast_%,ARIMA_CI_Lower_%,ARIMA_CI_Upper_%,Prophet_Forecast_%,Prophet_CI_Lower_%,Prophet_CI_Upper_%,Model_Agreement,Ensemble_Mean_%
Acinetobacter baumannii,United States,2029.0,53.28,26.35,80.2,57.23,42.98,71.58,AGREE,55.26
Acinetobacter baumannii,United States,2030.0,53.31,26.39,80.24,57.65,43.65,72.24,AGREE,55.48
Enterobacter cloacae,Canada,2025.0,65.1,0.0,100.0,24.63,11.52,36.87,DISAGREE,44.86
Enterobacter cloacae,Canada,2026.0,65.1,0.0,100.0,25.64,13.28,37.89,DISAGREE,45.37
Enterobacter cloacae,Canada,2027.0,65.1,0.0,100.0,26.65,14.78,39.26,DISAGREE,45.88
Enterobacter cloacae,Canada,2028.0,65.1,0.0,100.0,27.65,16.12,39.54,DISAGREE,46.38
Enterobacter cloacae,Canada,2029.0,65.1,0.0,100.0,28.66,16.23,41.24,DISAGREE,46.88
Enterobacter cloacae,Canada,2030.0,65.1,0.0,100.0,29.67,17.14,41.88,DISAGREE,47.38
Enterobacter cloacae,France,2025.0,92.22,6.45,100.0,66.5,46.13,87.45,DISAGREE,79.36
Enterobacter cloacae,France,2026.0,100.0,36.36,100.0,68.78,49.08,90.03,DISAGREE,84.39
Enterobacter cloacae,France,2027.0,87.91,0.0,100.0,71.06,50.62,91.56,DISAGREE,79.48
Enterobacter cloacae,France,2028.0,100.0,24.67,100.0,73.34,51.07,95.79,DISAGREE,86.67
Enterobacter cloacae,France,2029.0,82.6,0.0,100.0,75.63,54.11,96.9,AGREE,79.11
Enterobacter cloacae,France,2030.0,100.0,16.25,100.0,77.91,56.52,100.0,DISAGREE,88.96
Enterobacter cloacae,Germany,2025.0,6.03,0.0,47.96,0.87,0.0,17.26,AGREE,3.45
Enterobacter cloacae,Germany,2026.0,6.03,0.0,49.83,0.0,0.0,16.98,AGREE,3.02
Enterobacter cloacae,Germany,2027.0,6.03,0.0,51.63,0.0,0.0,17.27,AGREE,3.02
Enterobacter cloacae,Germany,2028.0,6.03,0.0,53.36,0.0,0.0,13.89,AGREE,3.02
Enterobacter cloacae,Germany,2029.0,6.03,0.0,55.02,0.0,0.0,13.13,AGREE,3.02
Enterobacter cloacae,Germany,2030.0,6.03,0.0,56.63,0.0,0.0,11.36,AGREE,3.02
Enterobacter cloacae,Italy,2025.0,51.98,0.0,100.0,10.45,0.0,29.04,DISAGREE,31.21
Enterobacter cloacae,Italy,2026.0,51.98,0.0,100.0,8.72,0.0,27.1,DISAGREE,30.35
Enterobacter cloacae,Italy,2027.0,51.98,0.0,100.0,6.99,0.0,25.76,DISAGREE,29.48
Enterobacter cloacae,Italy,2028.0,51.98,0.0,100.0,5.27,0.0,24.97,DISAGREE,28.62
Enterobacter cloacae,Italy,2029.0,51.98,0.0,100.0,3.54,0.0,19.5,DISAGREE,27.76
Enterobacter cloacae,Italy,2030.0,51.98,0.0,100.0,1.81,0.0,21.3,DISAGREE,26.9
Enterobacter cloacae,Spain,2025.0,66.47,7.84,100.0,44.24,28.86,60.57,DISAGREE,55.36
Enterobacter cloacae,Spain,2026.0,66.47,2.26,100.0,45.79,28.15,59.8,DISAGREE,56.13
Enterobacter cloacae,Spain,2027.0,66.47,0.0,100.0,47.35,31.23,62.93,DISAGREE,56.91
Enterobacter cloacae,Spain,2028.0,66.47,0.0,100.0,48.9,32.73,66.5,DISAGREE,57.68
Enterobacter cloacae,Spain,2029.0,66.47,0.0,100.0,50.46,33.09,65.54,DISAGREE,58.46
Enterobacter cloacae,Spain,2030.0,66.47,0.0,100.0,52.02,35.21,69.52,DISAGREE,59.24
Enterobacter cloacae,United States,2025.0,29.13,0.0,77.96,43.27,27.2,60.04,DISAGREE,36.2
Enterobacter cloacae,United States,2026.0,66.78,10.38,100.0,44.71,28.26,62.41,DISAGREE,55.74
Enterobacter cloacae,United States,2027.0,24.28,0.0,84.93,46.16,28.18,61.4,DISAGREE,35.22
Enterobacter cloacae,United States,2028.0,72.26,5.04,100.0,47.6,30.46,65.14,DISAGREE,59.93
Enterobacter cloacae,United States,2029.0,18.09,0.0,88.64,49.05,33.08,66.13,DISAGREE,33.57
Enterobacter cloacae,United States,2030.0,79.24,2.6,100.0,50.5,35.55,66.99,DISAGREE,64.87
Enterococcus faecium,Canada,2025.0,81.8,64.31,99.3,98.66,85.2,100.0,DISAGREE,90.23
Enterococcus faecium,Canada,2026.0,79.07,61.58,96.57,100.0,92.42,100.0,DISAGREE,89.54
Enterococcus faecium,Canada,2027.0,76.58,58.54,94.61,100.0,96.72,100.0,DISAGREE,88.29
Enterococcus faecium,Canada,2028.0,74.22,55.02,93.43,100.0,100.0,100.0,DISAGREE,87.11
Enterococcus faecium,Canada,2029.0,71.98,51.36,92.59,100.0,100.0,100.0,DISAGREE,85.99
Enterococcus faecium,Canada,2030.0,69.81,47.77,91.85,100.0,100.0,100.0,DISAGREE,84.9
Enterococcus faecium,France,2025.0,41.24,0.0,100.0,100.0,69.85,100.0,DISAGREE,70.62
Enterococcus faecium,France,2026.0,34.9,0.0,100.0,100.0,76.96,100.0,DISAGREE,67.45
Enterococcus faecium,France,2027.0,29.53,0.0,100.0,100.0,83.55,100.0,DISAGREE,64.76
Enterococcus faecium,France,2028.0,24.99,0.0,100.0,100.0,88.78,100.0,DISAGREE,62.5
Enterococcus faecium,France,2029.0,21.15,0.0,100.0,100.0,95.19,100.0,DISAGREE,60.58
Enterococcus faecium,France,2030.0,17.89,0.0,100.0,100.0,100.0,100.0,DISAGREE,58.94
Enterococcus faecium,Germany,2025.0,86.04,66.29,100.0,100.0,90.59,100.0,DISAGREE,93.02
Enterococcus faecium,Germany,2026.0,91.36,44.97,100.0,100.0,96.42,100.0,AGREE,95.68
Enterococcus faecium,Germany,2027.0,97.99,29.82,100.0,100.0,99.72,100.0,AGREE,99.0
Enterococcus faecium,Germany,2028.0,100.0,19.53,100.0,100.0,100.0,100.0,AGREE,100.0
Enterococcus faecium,Germany,2029.0,100.0,10.25,100.0,100.0,100.0,100.0,AGREE,100.0
Enterococcus faecium,Germany,2030.0,100.0,2.11,100.0,100.0,100.0,100.0,AGREE,100.0
Enterococcus faecium,Italy,2025.0,96.22,47.75,100.0,100.0,83.12,100.0,AGREE,98.11
Enterococcus faecium,Italy,2026.0,95.27,23.85,100.0,100.0,85.64,100.0,AGREE,97.64
Enterococcus faecium,Italy,2027.0,95.27,15.65,100.0,100.0,93.62,100.0,AGREE,97.64
Enterococcus faecium,Italy,2028.0,95.27,8.22,100.0,100.0,97.8,100.0,AGREE,97.64
Enterococcus faecium,Italy,2029.0,95.27,1.37,100.0,100.0,100.0,100.0,AGREE,97.64
Enterococcus faecium,Italy,2030.0,95.27,0.0,100.0,100.0,100.0,100.0,AGREE,97.64
Enterococcus faecium,Spain,2025.0,73.45,11.22,100.0,98.77,80.92,100.0,DISAGREE,86.11
Enterococcus faecium,Spain,2026.0,73.45,3.51,100.0,100.0,83.44,100.0,DISAGREE,86.72
Enterococcus faecium,Spain,2027.0,73.45,0.0,100.0,100.0,93.28,100.0,DISAGREE,86.72
Enterococcus faecium,Spain,2028.0,73.45,0.0,100.0,100.0,97.39,100.0,DISAGREE,86.72
Enterococcus faecium,Spain,2029.0,73.45,0.0,100.0,100.0,100.0,100.0,DISAGREE,86.72
Enterococcus faecium,Spain,2030.0,73.45,0.0,100.0,100.0,100.0,100.0,DISAGREE,86.72
Enterococcus faecium,United States,2025.0,88.07,62.11,100.0,91.57,77.94,100.0,AGREE,89.82
Enterococcus faecium,United States,2026.0,87.88,61.01,100.0,92.79,79.3,100.0,AGREE,90.34
Enterococcus faecium,United States,2027.0,87.88,60.2,100.0,94.0,81.05,100.0,AGREE,90.94
Enterococcus faecium,United States,2028.0,87.88,59.41,100.0,95.21,83.05,100.0,AGREE,91.54
Enterococcus faecium,United States,2029.0,87.88,58.64,100.0,96.43,84.99,100.0,AGREE,92.16
Enterococcus faecium,United States,2030.0,87.88,57.89,100.0,97.64,85.76,100.0,AGREE,92.76
Escherichia coli,Argentina,2025.0,56.81,16.68,96.94,62.25,38.56,83.72,AGREE,59.53
Escherichia coli,Argentina,2026.0,57.39,13.22,100.0,64.27,42.35,84.54,AGREE,60.83
Escherichia coli,Argentina,2027.0,57.39,9.93,100.0,66.29,44.67,86.65,AGREE,61.84
Escherichia coli,Argentina,2028.0,57.39,6.85,100.0,68.31,46.48,90.93,DISAGREE,62.85
Escherichia coli,Argentina,2029.0,57.39,3.94,100.0,70.34,48.54,92.22,DISAGREE,63.86
Escherichia coli,Argentina,2030.0,57.39,1.19,100.0,72.36,51.81,94.84,DISAGREE,64.88
Escherichia coli,Australia,2025.0,27.53,0.0,60.18,44.8,30.03,62.51,DISAGREE,36.16
Escherichia coli,Australia,2026.0,24.68,0.0,63.21,46.82,31.27,62.43,DISAGREE,35.75
Escherichia coli,Australia,2027.0,24.68,0.0,70.09,48.84,32.29,63.55,DISAGREE,36.76
Escherichia coli,Australia,2028.0,24.68,0.0,76.05,50.86,36.7,66.7,DISAGREE,37.77
Escherichia coli,Australia,2029.0,24.68,0.0,81.4,52.88,35.19,68.4,DISAGREE,38.78
Escherichia coli,Australia,2030.0,24.68,0.0,86.27,54.9,37.33,69.77,DISAGREE,39.79
Escherichia coli,Belgium,2025.0,63.29,49.71,76.87,56.37,44.8,67.35,AGREE,59.83
Escherichia coli,Belgium,2026.0,62.36,41.06,83.66,58.67,47.09,68.96,AGREE,60.52
Escherichia coli,Belgium,2027.0,62.03,34.05,90.01,60.98,50.88,72.48,AGREE,61.5
Escherichia coli,Belgium,2028.0,62.77,30.69,94.86,63.28,53.32,74.47,AGREE,63.03
Escherichia coli,Belgium,2029.0,62.83,27.38,98.27,65.59,55.58,76.94,AGREE,64.21
Escherichia coli,Belgium,2030.0,62.28,22.98,100.0,67.89,56.07,77.83,AGREE,65.09
Escherichia coli,Brazil,2025.0,48.74,27.12,70.35,69.18,55.81,82.61,DISAGREE,58.96
Escherichia coli,Brazil,2026.0,58.78,32.45,85.11,71.67,57.68,86.0,DISAGREE,65.22
Escherichia coli,Brazil,2027.0,59.42,33.05,85.8,74.16,61.18,87.86,DISAGREE,66.79
Escherichia coli,Brazil,2028.0,60.07,33.65,86.49,76.64,63.48,89.22,DISAGREE,68.36
Escherichia coli,Brazil,2029.0,60.73,34.26,87.2,79.14,66.08,92.55,DISAGREE,69.94
Escherichia coli,Brazil,2030.0,61.39,34.87,87.91,81.62,68.81,95.43,DISAGREE,71.5
Escherichia coli,Canada,2025.0,38.59,19.2,57.98,39.79,27.99,52.93,AGREE,39.19
Escherichia coli,Canada,2026.0,43.1,21.12,65.07,41.52,28.78,54.14,AGREE,42.31
Escherichia coli,Canada,2027.0,45.78,22.5,69.07,43.25,31.73,56.44,AGREE,44.52
Escherichia coli,Canada,2028.0,48.63,23.95,73.31,44.99,32.72,56.7,AGREE,46.81
Escherichia coli,Canada,2029.0,51.66,25.49,77.82,46.72,34.42,59.56,AGREE,49.19
Escherichia coli,Canada,2030.0,54.87,27.13,82.62,48.46,35.41,61.92,AGREE,51.66
Escherichia coli,Chile,2025.0,42.67,17.85,67.48,45.06,28.08,60.88,AGREE,43.86
Escherichia coli,Chile,2026.0,42.88,11.84,73.93,45.24,26.06,62.14,AGREE,44.06
Escherichia coli,Chile,2027.0,42.58,11.51,73.65,45.43,28.94,63.1,AGREE,44.0
Escherichia coli,Chile,2028.0,42.28,11.18,73.37,45.62,28.1,60.9,AGREE,43.95
Escherichia coli,Chile,2029.0,41.98,10.85,73.1,45.81,26.85,63.49,AGREE,43.9
Escherichia coli,Chile,2030.0,41.68,10.53,72.82,46.0,27.61,62.94,AGREE,43.84
Escherichia coli,China,2025.0,82.96,67.97,97.95,86.5,78.32,95.63,AGREE,84.73
Escherichia coli,China,2026.0,83.87,68.54,99.2,87.99,79.51,96.46,AGREE,85.93
Escherichia coli,China,2027.0,84.46,69.12,99.81,89.47,80.3,98.91,AGREE,86.96
Escherichia coli,China,2028.0,85.06,69.7,100.0,90.95,82.7,100.0,AGREE,88.0
Escherichia coli,China,2029.0,85.66,70.28,100.0,92.44,83.73,100.0,AGREE,89.05
Escherichia coli,China,2030.0,86.26,70.87,100.0,93.92,84.82,100.0,AGREE,90.09
Escherichia coli,Colombia,2025.0,82.73,51.84,100.0,86.16,69.28,100.0,AGREE,84.44
Escherichia coli,Colombia,2026.0,90.93,46.06,100.0,90.09,73.72,100.0,AGREE,90.51
Escherichia coli,Colombia,2027.0,96.65,51.24,100.0,94.01,78.34,100.0,AGREE,95.33
Escherichia coli,Colombia,2028.0,100.0,56.72,100.0,97.93,83.28,100.0,AGREE,98.96
Escherichia coli,Colombia,2029.0,100.0,62.51,100.0,100.0,85.8,100.0,AGREE,100.0
Escherichia coli,Colombia,2030.0,100.0,68.64,100.0,100.0,89.33,100.0,AGREE,100.0
Escherichia coli,Croatia,2025.0,68.38,42.85,93.91,50.32,30.32,69.25,DISAGREE,59.35
Escherichia coli,Croatia,2026.0,67.82,36.7,98.93,52.0,32.5,70.76,DISAGREE,59.91
Escherichia coli,Croatia,2027.0,73.66,42.53,100.0,53.68,35.04,72.01,DISAGREE,63.67
Escherichia coli,Croatia,2028.0,80.01,48.85,100.0,55.36,36.58,74.47,DISAGREE,67.68
Escherichia coli,Croatia,2029.0,86.9,55.72,100.0,57.04,38.06,76.88,DISAGREE,71.97
Escherichia coli,Croatia,2030.0,94.39,63.17,100.0,58.72,37.92,80.14,DISAGREE,76.56
Escherichia coli,Czech Republic,2025.0,49.56,34.63,64.49,38.57,27.18,51.08,DISAGREE,44.06
Escherichia coli,Czech Republic,2026.0,44.6,12.27,76.92,39.15,28.72,49.76,AGREE,41.88
Escherichia coli,Czech Republic,2027.0,42.58,0.0,93.47,39.73,29.14,51.83,AGREE,41.16
Escherichia coli,Czech Republic,2028.0,40.66,0.0,100.0,40.32,28.72,50.55,AGREE,40.49
Escherichia coli,Czech Republic,2029.0,38.82,0.0,100.0,40.9,29.8,52.41,AGREE,39.86
Escherichia coli,Czech Republic,2030.0,37.07,0.0,100.0,41.48,31.08,52.33,AGREE,39.28
Escherichia coli,Denmark,2025.0,36.58,11.77,61.38,36.65,21.05,53.58,AGREE,36.61
Escherichia coli,Denmark,2026.0,36.91,11.85,61.98,38.15,23.9,51.46,AGREE,37.53
Escherichia coli,Denmark,2027.0,38.61,13.48,63.74,39.66,26.11,54.56,AGREE,39.14
Escherichia coli,Denmark,2028.0,40.38,15.18,65.59,41.16,26.77,56.84,AGREE,40.77
Escherichia coli,Denmark,2029.0,42.24,16.95,67.52,42.67,29.09,56.98,AGREE,42.46
Escherichia coli,Denmark,2030.0,44.18,18.81,69.55,44.17,29.85,57.66,AGREE,44.18
Escherichia coli,France,2025.0,42.12,21.82,62.41,48.11,38.56,56.95,AGREE,45.11
Escherichia coli,France,2026.0,44.26,23.01,65.52,50.3,40.9,59.08,AGREE,47.28
Escherichia coli,France,2027.0,44.26,20.03,68.49,52.5,44.0,60.95,AGREE,48.38
Escherichia coli,France,2028.0,44.26,17.39,71.13,54.69,45.18,64.16,DISAGREE,49.47
Escherichia coli,France,2029.0,44.26,14.98,73.54,56.89,47.17,66.13,DISAGREE,50.58
Escherichia coli,France,2030.0,44.26,12.76,75.76,59.08,50.14,67.97,DISAGREE,51.67
Escherichia coli,Germany,2025.0,37.83,10.28,65.38,43.05,29.01,56.07,AGREE,40.44
Escherichia coli,Germany,2026.0,34.66,6.17,63.15,44.15,30.55,59.13,AGREE,39.4
Escherichia coli,Germany,2027.0,34.66,2.7,66.62,45.25,29.86,59.41,DISAGREE,39.96
Escherichia coli,Germany,2028.0,34.66,0.0,69.75,46.35,32.4,62.86,DISAGREE,40.5
Escherichia coli,Germany,2029.0,34.66,0.0,72.63,47.45,33.42,61.82,DISAGREE,41.06
Escherichia coli,Germany,2030.0,34.66,0.0,75.3,48.55,33.07,63.63,DISAGREE,41.6
Escherichia coli,Greece,2025.0,91.13,66.85,100.0,59.68,38.51,78.38,DISAGREE,75.4
Escherichia coli,Greece,2026.0,89.51,38.08,100.0,62.71,41.63,81.68,DISAGREE,76.11
Escherichia coli,Greece,2027.0,90.68,19.21,100.0,65.74,44.76,85.03,DISAGREE,78.21
Escherichia coli,Greece,2028.0,89.84,4.55,100.0,68.77,48.37,89.13,DISAGREE,79.31
Escherichia coli,Greece,2029.0,90.45,0.0,100.0,71.81,51.93,89.74,DISAGREE,81.13
Escherichia coli,Greece,2030.0,90.01,0.0,100.0,74.84,57.58,95.53,DISAGREE,82.43
Escherichia coli,Hungary,2025.0,49.57,24.1,75.04,44.64,28.93,57.68,AGREE,47.1
Escherichia coli,Hungary,2026.0,42.71,14.66,70.76,45.07,30.03,59.13,AGREE,43.89
Escherichia coli,Hungary,2027.0,42.71,14.66,70.76,45.5,30.68,60.73,AGREE,44.1
Escherichia coli,Hungary,2028.0,42.71,14.66,70.76,45.93,31.15,61.5,AGREE,44.32
Escherichia coli,Hungary,2029.0,42.71,14.66,70.76,46.36,32.5,60.84,AGREE,44.54
Escherichia coli,Hungary,2030.0,42.71,14.66,70.76,46.79,30.3,60.62,AGREE,44.75
Escherichia coli,India,2025.0,85.7,69.1,100.0,87.64,70.64,100.0,AGREE,86.67
Escherichia coli,India,2026.0,87.25,67.54,100.0,88.04,71.97,100.0,AGREE,87.65
Escherichia coli,India,2027.0,89.51,65.38,100.0,88.43,73.82,100.0,AGREE,88.97
Escherichia coli,India,2028.0,89.21,59.21,100.0,88.83,73.18,100.0,AGREE,89.02
Escherichia coli,India,2029.0,87.9,53.35,100.0,89.23,73.94,100.0,AGREE,88.56
Escherichia coli,India,2030.0,87.74,50.16,100.0,89.63,73.17,100.0,AGREE,88.68
Escherichia coli,Ireland,2025.0,47.55,26.58,68.52,51.05,38.16,63.71,AGREE,49.3
Escherichia coli,Ireland,2026.0,36.83,12.43,61.24,53.23,39.38,67.7,DISAGREE,45.03
Escherichia coli,Ireland,2027.0,36.83,0.0,76.09,55.41,41.52,69.4,DISAGREE,46.12
Escherichia coli,Ireland,2028.0,36.83,0.0,86.7,57.59,44.21,71.13,DISAGREE,47.21
Escherichia coli,Ireland,2029.0,36.83,0.0,95.42,59.77,47.48,73.66,DISAGREE,48.3
Escherichia coli,Ireland,2030.0,36.83,0.0,100.0,61.95,48.26,75.08,DISAGREE,49.39
Escherichia coli,Israel,2025.0,58.7,37.55,79.84,58.66,47.57,69.85,AGREE,58.68
Escherichia coli,Israel,2026.0,64.04,43.28,84.81,59.53,47.3,71.25,AGREE,61.78
Escherichia coli,Israel,2027.0,64.04,37.61,90.48,60.41,49.29,71.3,AGREE,62.22
Escherichia coli,Israel,2028.0,64.04,32.95,95.13,61.28,49.11,73.48,AGREE,62.66
Escherichia coli,Israel,2029.0,64.04,28.91,99.18,62.16,49.8,73.98,AGREE,63.1
Escherichia coli,Israel,2030.0,64.04,25.28,100.0,63.04,51.79,76.57,AGREE,63.54
Escherichia coli,Italy,2025.0,49.05,37.84,60.27,53.93,45.19,62.64,AGREE,51.49
Escherichia coli,Italy,2026.0,48.01,33.18,62.83,54.67,46.07,63.08,AGREE,51.34
Escherichia coli,Italy,2027.0,48.01,33.1,62.92,55.42,46.51,64.7,AGREE,51.72
Escherichia coli,Italy,2028.0,48.01,33.02,63.0,56.17,48.09,64.87,AGREE,52.09
Escherichia coli,Italy,2029.0,48.01,32.94,63.08,56.92,48.87,65.87,AGREE,52.46
Escherichia coli,Italy,2030.0,48.01,32.86,63.16,57.67,49.06,66.71,AGREE,52.84
Escherichia coli,"Korea, South",2025.0,63.06,34.71,91.42,74.72,58.26,91.69,DISAGREE,68.89
Escherichia coli,"Korea, South",2026.0,63.68,35.25,92.11,77.45,61.16,94.52,DISAGREE,70.56
Escherichia coli,"Korea, South",2027.0,64.09,35.73,92.44,80.18,63.67,97.2,DISAGREE,72.14
Escherichia coli,"Korea, South",2028.0,64.35,35.85,92.86,82.92,68.1,100.0,DISAGREE,73.63
Escherichia coli,"Korea, South",2029.0,64.53,35.61,93.45,85.65,69.04,100.0,DISAGREE,75.09
Escherichia coli,"Korea, South",2030.0,64.65,35.09,94.21,88.39,72.26,100.0,DISAGREE,76.52
Escherichia coli,Lithuania,2025.0,32.53,16.12,48.94,48.28,29.29,65.35,DISAGREE,40.4
Escherichia coli,Lithuania,2026.0,28.98,9.48,48.49,50.65,33.07,68.53,DISAGREE,39.82
Escherichia coli,Lithuania,2027.0,27.0,7.36,46.63,53.01,35.72,70.45,DISAGREE,40.0
Escherichia coli,Lithuania,2028.0,25.14,5.4,44.89,55.38,38.64,71.6,DISAGREE,40.26
Escherichia coli,Lithuania,2029.0,23.42,3.58,43.26,57.75,40.89,76.9,DISAGREE,40.58
Escherichia coli,Lithuania,2030.0,21.81,1.89,41.74,60.12,42.88,78.03,DISAGREE,40.96
Escherichia coli,Mexico,2025.0,91.63,65.85,100.0,94.72,80.62,100.0,AGREE,93.18
Escherichia coli,Mexico,2026.0,97.77,68.58,100.0,97.55,83.23,100.0,AGREE,97.66
Escherichia coli,Mexico,2027.0,100.0,72.13,100.0,100.0,87.24,100.0,AGREE,100.0
Escherichia coli,Mexico,2028.0,100.0,75.81,100.0,100.0,88.29,100.0,AGREE,100.0
Escherichia coli,Mexico,2029.0,100.0,79.63,100.0,100.0,91.4,100.0,AGREE,100.0
Escherichia coli,Mexico,2030.0,100.0,83.58,100.0,100.0,95.65,100.0,AGREE,100.0
Escherichia coli,Netherlands,2025.0,45.39,25.14,65.65,44.53,31.43,56.75,AGREE,44.96
Escherichia coli,Netherlands,2026.0,42.52,19.54,65.5,46.9,32.67,60.88,AGREE,44.71
Escherichia coli,Netherlands,2027.0,44.58,21.56,67.6,49.26,36.74,61.83,AGREE,46.92
Escherichia coli,Netherlands,2028.0,46.74,23.67,69.81,51.62,38.38,65.24,AGREE,49.18
Escherichia coli,Netherlands,2029.0,49.0,25.88,72.12,53.99,39.61,66.97,AGREE,51.5
Escherichia coli,Netherlands,2030.0,51.37,28.2,74.55,56.35,41.93,70.69,AGREE,53.86
Escherichia coli,Poland,2025.0,48.3,23.09,73.52,49.11,33.67,64.86,AGREE,48.7
Escherichia coli,Poland,2026.0,44.75,17.71,71.78,50.06,35.38,65.93,AGREE,47.4
Escherichia coli,Poland,2027.0,44.66,17.63,71.69,51.01,36.12,67.06,AGREE,47.83
Escherichia coli,Poland,2028.0,44.57,17.55,71.6,51.96,37.78,67.25,AGREE,48.26
Escherichia coli,Poland,2029.0,44.49,17.47,71.5,52.91,37.12,68.41,AGREE,48.7
Escherichia coli,Poland,2030.0,44.4,17.39,71.41,53.86,40.01,70.14,AGREE,49.13
Escherichia coli,Portugal,2025.0,46.7,25.86,67.55,41.51,27.28,55.71,AGREE,44.1
Escherichia coli,Portugal,2026.0,47.2,26.14,68.25,42.57,28.79,56.73,AGREE,44.89
Escherichia coli,Portugal,2027.0,49.35,28.25,70.46,43.62,30.19,57.66,AGREE,46.48
Escherichia coli,Portugal,2028.0,51.61,30.44,72.77,44.68,29.32,59.0,AGREE,48.14
Escherichia coli,Portugal,2029.0,53.96,32.74,75.19,45.74,31.64,60.32,AGREE,49.85
Escherichia coli,Portugal,2030.0,56.43,35.14,77.72,46.8,31.33,61.61,AGREE,51.61
Escherichia coli,Romania,2025.0,41.16,25.44,56.87,49.57,38.16,61.96,AGREE,45.36
Escherichia coli,Romania,2026.0,42.06,22.69,61.43,49.48,37.69,61.48,AGREE,45.77
Escherichia coli,Romania,2027.0,40.68,21.24,60.12,49.39,36.91,61.44,AGREE,45.04
Escherichia coli,Romania,2028.0,39.34,19.84,58.84,49.3,37.68,60.75,AGREE,44.32
Escherichia coli,Romania,2029.0,38.05,18.49,57.61,49.21,38.52,61.12,DISAGREE,43.63
Escherichia coli,Romania,2030.0,36.8,17.19,56.41,49.12,36.65,61.05,DISAGREE,42.96
Escherichia coli,Spain,2025.0,34.94,15.84,54.05,47.72,35.58,59.17,DISAGREE,41.33
Escherichia coli,Spain,2026.0,38.13,14.6,61.66,49.15,37.76,60.1,DISAGREE,43.64
Escherichia coli,Spain,2027.0,38.13,13.58,62.68,50.58,38.86,61.54,DISAGREE,44.36
Escherichia coli,Spain,2028.0,38.13,12.61,63.65,52.02,39.25,64.7,DISAGREE,45.08
Escherichia coli,Spain,2029.0,38.13,11.67,64.59,53.45,41.97,66.37,DISAGREE,45.79
